2009-08-15,Premier League,,H,Arsenal,L,1-6,,
2009-08-23,Premier League,,A,Burnley,L,1-0,,
2009-08-30,Premier League,,H,Wigan,W,2-1,,
2009-09-13,Premier League,,A,Fulham,L,2-1,,
2009-09-20,Premier League,,H,Blackburn,W,3-0,,
2009-09-23,EFL Cup,,A,Hull,W,0-4,,
2009-09-26,Premier League,,A,Portsmouth,W,0-1,,
2009-10-04,Premier League,,H,Stoke,D,1-1,,
2009-10-17,Premier League,,H,Wolves,D,1-1,,
2009-10-25,Premier League,,A,Bolton,L,3-2,,
2009-10-27,EFL Cup,,A,Tottenham,L,2-0,,
2009-10-31,Premier League,,H,Aston Villa,D,1-1,,
2009-11-08,Premier League,,A,West Ham,W,1-2,,
2009-11-21,Premier League,,A,Manchester Utd,L,3-0,,
2009-11-25,Premier League,,A,Hull,L,3-2,,
2009-11-29,Premier League,,H,Liverpool,L,0-2,,
2009-12-06,Premier League,,H,Tottenham,D,2-2,,
2009-12-12,Premier League,,A,Chelsea,D,3-3,,
2009-12-20,Premier League,,H,Birmingham,D,1-1,,
2009-12-26,Premier League,,A,Sunderland,D,1-1,,
2009-12-28,Premier League,,H,Burnley,W,2-0,,
2010-01-02,FA Cup,,H,Carlisle,W,3-1,,
2010-01-09,Premier League,,A,Arsenal,D,2-2,,
2010-01-16,Premier League,,H,Manchester City,W,2-0,,
2010-01-23,FA Cup,,H,Birmingham,L,1-2,,
2010-01-27,Premier League,,H,Sunderland,W,2-0,,
2010-01-30,Premier League,,A,Wigan,W,0-1,,
2010-02-06,Premier League,,A,Liverpool,L,1-0,,
2010-02-10,Premier League,,H,Chelsea,W,2-1,,
2010-02-20,Premier League,,H,Manchester Utd,W,3-1,,
2010-02-28,Premier League,,A,Tottenham,L,2-1,,
2010-03-07,Premier League,,H,Hull,W,5-1,,
2010-03-13,Premier League,,A,Birmingham,D,2-2,,
2010-03-20,Premier League,,H,Bolton,W,2-0,,
2010-03-24,Premier League,,A,Manchester City,W,0-2,,
2010-03-27,Premier League,,A,Wolves,D,0-0,,
2010-04-04,Premier League,,H,West Ham,D,2-2,,
2010-04-14,Premier League,,A,Aston Villa,D,2-2,,
2010-04-17,Premier League,,A,Blackburn,W,2-3,,
2010-04-25,Premier League,,H,Fulham,W,2-1,,
2010-05-01,Premier League,,A,Stoke,D,0-0,,
2010-05-09,Premier League,,H,Portsmouth,W,1-0,,
2010-08-14,Premier League,,A,Blackburn,L,1-0,,
2010-08-21,Premier League,,H,Wolves,D,1-1,,
2010-08-25,EFL Cup,,H,Huddersfield,W,5-1,,
2010-08-29,Premier League,,A,Aston Villa,L,1-0,,
2010-09-11,Premier League,,H,Manchester Utd,D,3-3,,
2010-09-18,Premier League,,H,Newcastle,L,0-1,,
2010-09-21,EFL Cup,,A,Brentford,D,1-1,,
2010-09-25,Premier League,,A,Fulham,D,0-0,,
2010-10-02,Premier League,,A,Birmingham,W,0-2,,
2010-10-17,Premier League,,H,Liverpool,W,2-0,,
2010-10-23,Premier League,,A,Tottenham,D,1-1,,
2010-10-30,Premier League,,H,Stoke,W,1-0,,
2010-11-06,Premier League,,A,Blackpool,D,2-2,,
2010-11-10,Premier League,,H,Bolton,D,1-1,,
2010-11-14,Premier League,,H,Arsenal,L,1-2,,
2010-11-22,Premier League,,A,Sunderland,D,2-2,,
2010-11-27,Premier League,,H,West Brom,L,1-4,,
2010-12-04,Premier League,,A,Chelsea,D,1-1,,
2010-12-11,Premier League,,H,Wigan,D,0-0,,
2010-12-20,Premier League,,A,Manchester City,W,1-2,,
2010-12-28,Premier League,,A,West Ham,D,1-1,,
2011-01-01,Premier League,,A,Stoke,L,2-0,,
2011-01-05,Premier League,,H,Tottenham,W,2-1,,
2011-01-08,FA Cup,,A,Scunthorpe,W,1-5,,
2011-01-16,Premier League,,A,Liverpool,D,2-2,,
2011-01-22,Premier League,,H,West Ham,D,2-2,,
2011-01-29,FA Cup,,H,Chelsea,D,1-1,,
2011-02-01,Premier League,,A,Arsenal,L,2-1,,
2011-02-05,Premier League,,H,Blackpool,W,5-3,,
2011-02-13,Premier League,,A,Bolton,L,2-0,,
2011-02-19,FA Cup,,A,Chelsea,D,0-0,,
2011-02-26,Premier League,,H,Sunderland,W,2-0,,
2011-03-01,FA Cup,,H,Reading,L,0-1,,
2011-03-05,Premier League,,A,Newcastle,W,1-2,,
2011-03-09,Premier League,,H,Birmingham,D,1-1,,
2011-03-19,Premier League,,H,Fulham,W,2-1,,
2011-04-02,Premier League,,H,Aston Villa,D,2-2,,
2011-04-09,Premier League,,A,Wolves,W,0-3,,
2011-04-16,Premier League,,H,Blackburn,W,2-0,,
2011-04-23,Premier League,,A,Manchester Utd,L,1-0,,
2011-04-30,Premier League,,A,Wigan,D,1-1,,
2011-05-07,Premier League,,H,Manchester City,W,2-1,,
2011-05-14,Premier League,,A,West Brom,L,1-0,,
2011-05-22,Premier League,,H,Chelsea,W,1-0,,
2011-08-20,Premier League,,H,QPR,L,0-1,,
2011-08-24,EFL Cup,,H,Sheffield Utd,W,3-1,,
2011-08-27,Premier League,,A,Blackburn,W,0-1,,
2011-09-10,Premier League,,H,Aston Villa,D,2-2,,
2011-09-17,Premier League,,H,Wigan,W,3-1,,
2011-09-21,EFL Cup,,H,West Brom,D,1-1,,
2011-09-24,Premier League,,A,Manchester City,L,2-0,,
2011-10-01,Premier League,,H,Liverpool,L,0-2,,
2011-10-15,Premier League,,A,Chelsea,L,3-1,,
2011-10-23,Premier League,,A,Fulham,W,1-3,,
2011-10-26,EFL Cup,,H,Chelsea,D,1-1,,
2011-10-29,Premier League,,H,Manchester Utd,L,0-1,,
2011-11-05,Premier League,,A,Newcastle,L,2-1,,
2011-11-19,Premier League,,H,Wolves,W,2-1,,
2011-11-26,Premier League,,A,Bolton,W,0-2,,
2011-12-04,Premier League,,H,Stoke,L,0-1,,
2011-12-10,Premier League,,A,Arsenal,L,1-0,,
2011-12-17,Premier League,,H,Norwich,D,1-1,,
2011-12-21,Premier League,,H,Swansea,W,1-0,,
2011-12-26,Premier League,,A,Sunderland,D,1-1,,
2012-01-01,Premier League,,A,West Brom,W,0-1,,
2012-01-04,Premier League,,H,Bolton,L,1-2,,
2012-01-07,FA Cup,,H,Tamworth,W,2-0,,
2012-01-11,Premier League,,A,Tottenham,L,2-0,,
2012-01-14,Premier League,,A,Aston Villa,D,1-1,,
2012-01-21,Premier League,,H,Blackburn,D,1-1,,
2012-01-27,FA Cup,,H,Fulham,W,2-1,,
2012-01-31,Premier League,,H,Manchester City,W,1-0,,
2012-02-04,Premier League,,A,Wigan,D,1-1,,
2012-02-11,Premier League,,H,Chelsea,W,2-0,,
2012-02-18,FA Cup,,H,Blackpool,W,2-0,,
2012-03-03,Premier League,,A,QPR,D,1-1,,
2012-03-10,Premier League,,H,Tottenham,W,1-0,,
2012-03-13,Premier League,,A,Liverpool,L,3-0,,
2012-03-17,FA Cup,,H,Sunderland,D,1-1,,
2012-03-21,Premier League,,H,Arsenal,L,0-1,,
2012-03-24,Premier League,,A,Swansea,W,0-2,,
2012-03-27,FA Cup,,A,Sunderland,W,0-2,,
2012-03-31,Premier League,,H,West Brom,W,2-0,,
2012-04-07,Premier League,,A,Norwich,D,2-2,,
2012-04-09,Premier League,,H,Sunderland,W,4-0,,
2012-04-14,FA Cup,,N,Liverpool,L,2-1,,
2012-04-22,Premier League,,A,Manchester Utd,D,4-4,,
2012-04-28,Premier League,,H,Fulham,W,4-0,,
2012-05-01,Premier League,,A,Stoke,D,1-1,,
2012-05-06,Premier League,,A,Wolves,D,0-0,,
2012-05-13,Premier League,,H,Newcastle,W,3-1,,
2012-08-20,Premier League,,H,Manchester Utd,W,1-0,,
2012-08-25,Premier League,,A,Aston Villa,W,1-3,,
2012-08-29,EFL Cup,,H,Leyton Orient,W,5-0,,
2012-09-01,Premier League,,A,West Brom,L,2-0,,
2012-09-17,Premier League,,H,Newcastle,D,2-2,,
2012-09-22,Premier League,,A,Swansea,W,0-3,,
2012-09-25,EFL Cup,,A,Leeds,L,2-1,,
2012-09-29,Premier League,,H,Southampton,W,3-1,,
2012-10-06,Premier League,,A,Wigan,D,2-2,,
2012-10-21,Premier League,,A,QPR,D,1-1,,
2012-10-28,Premier League,,H,Liverpool,D,2-2,,
2012-11-03,Premier League,,A,Fulham,D,2-2,,
2012-11-10,Premier League,,H,Sunderland,W,2-1,,
2012-11-17,Premier League,,A,Reading,L,2-1,,
2012-11-24,Premier League,,H,Norwich,D,1-1,,
2012-11-28,Premier League,,H,Arsenal,D,1-1,,
2012-12-01,Premier League,,A,Manchester City,D,1-1,,
2012-12-09,Premier League,,H,Tottenham,W,2-1,,
2012-12-15,Premier League,,A,Stoke,D,1-1,,
2012-12-22,Premier League,,A,West Ham,W,1-2,,
2012-12-26,Premier League,,H,Wigan,W,2-1,,
2012-12-30,Premier League,,H,Chelsea,L,1-2,,
2013-01-02,Premier League,,A,Newcastle,W,1-2,,
2013-01-07,FA Cup,,A,Cheltenham,W,1-5,,
2013-01-12,Premier League,,H,Swansea,D,0-0,,
2013-01-21,Premier League,,A,Southampton,D,0-0,,
2013-01-26,FA Cup,,A,Bolton,W,1-2,,
2013-01-30,Premier League,,H,West Brom,W,2-1,,
2013-02-02,Premier League,,H,Aston Villa,D,3-3,,
2013-02-10,Premier League,,A,Manchester Utd,L,2-0,,
2013-02-16,FA Cup,,A,Oldham,D,2-2,,
2013-02-23,Premier League,,A,Norwich,L,2-1,,
2013-02-26,FA Cup,,H,Oldham,W,3-1,,
2013-03-02,Premier League,,H,Reading,W,3-1,,
2013-03-09,FA Cup,,H,Wigan,L,0-3,,
2013-03-16,Premier League,,H,Manchester City,W,2-0,,
2013-03-30,Premier League,,H,Stoke,W,1-0,,
2013-04-07,Premier League,,A,Tottenham,D,2-2,,
2013-04-13,Premier League,,H,QPR,W,2-0,,
2013-04-16,Premier League,,A,Arsenal,D,0-0,,
2013-04-20,Premier League,,A,Sunderland,L,1-0,,
2013-04-27,Premier League,,H,Fulham,W,1-0,,
2013-05-05,Premier League,,A,Liverpool,D,0-0,,
2013-05-12,Premier League,,H,West Ham,W,2-0,,
2013-05-19,Premier League,,A,Chelsea,L,2-1,,
2013-08-17,Premier League,,A,Norwich,D,2-2,,
2013-08-24,Premier League,,H,West Brom,D,0-0,,
2013-08-28,EFL Cup,,H,Stevenage,D,1-1,,
2013-08-31,Premier League,,A,Cardiff,D,0-0,,
2013-09-14,Premier League,,H,Chelsea,W,1-0,,
2013-09-21,Premier League,,A,West Ham,W,2-3,,
2013-09-24,EFL Cup,,A,Fulham,L,2-1,,
2013-09-30,Premier League,,H,Newcastle,W,3-2,,
2013-10-05,Premier League,,A,Manchester City,L,3-1,,
2013-10-19,Premier League,,H,Hull,W,2-1,,
2013-10-26,Premier League,,A,Aston Villa,W,0-2,,
2013-11-03,Premier League,,H,Tottenham,D,0-0,,
2013-11-09,Premier League,,A,Crystal Palace,D,0-0,,
2013-11-23,Premier League,,H,Liverpool,D,3-3,,
2013-11-30,Premier League,,H,Stoke,W,4-0,,
2013-12-04,Premier League,,A,Manchester Utd,W,0-1,,
2013-12-08,Premier League,,A,Arsenal,D,1-1,,
2013-12-14,Premier League,,H,Fulham,W,4-1,,
2013-12-22,Premier League,,A,Swansea,W,1-2,,
2013-12-26,Premier League,,H,Sunderland,L,0-1,,
2013-12-29,Premier League,,H,Southampton,W,2-1,,
2014-01-01,Premier League,,A,Stoke,D,1-1,,
2014-01-04,FA Cup,,H,QPR,W,4-0,,
2014-01-11,Premier League,,H,Norwich,W,2-0,,
2014-01-20,Premier League,,A,West Brom,D,1-1,,
2014-01-25,FA Cup,,A,Stevenage,W,0-4,,
2014-01-28,Premier League,,A,Liverpool,L,4-0,,
2014-02-01,Premier League,,H,Aston Villa,W,2-1,,
2014-02-09,Premier League,,A,Tottenham,L,1-0,,
2014-02-16,FA Cup,,H,Swansea,W,3-1,,
2014-02-22,Premier League,,A,Chelsea,L,1-0,,
2014-03-01,Premier League,,H,West Ham,W,1-0,,
2014-03-08,FA Cup,,A,Arsenal,L,4-1,,
2014-03-15,Premier League,,H,Cardiff,W,2-1,,
2014-03-22,Premier League,,H,Swansea,W,3-2,,
2014-03-25,Premier League,,A,Newcastle,W,0-3,,
2014-03-30,Premier League,,A,Fulham,W,1-3,,
2014-04-06,Premier League,,H,Arsenal,W,3-0,,
2014-04-12,Premier League,,A,Sunderland,W,0-1,,
2014-04-16,Premier League,,H,Crystal Palace,L,2-3,,
2014-04-20,Premier League,,H,Manchester Utd,W,2-0,,
2014-04-26,Premier League,,A,Southampton,L,2-0,,
2014-05-03,Premier League,,H,Manchester City,L,2-3,,
2014-05-11,Premier League,,A,Hull,W,0-2,,
2014-08-16,Premier League,,A,Leicester,D,2-2,,
2014-08-23,Premier League,,H,Arsenal,D,2-2,,
2014-08-30,Premier League,,H,Chelsea,L,3-6,,
2014-09-13,Premier League,,A,West Brom,W,0-2,,
2014-09-21,Premier League,,H,Crystal Palace,L,2-3,,
2014-09-23,EFL Cup,,A,Swansea,L,3-0,,
2014-09-27,Premier League,,A,Liverpool,D,1-1,,
2014-10-05,Premier League,,A,Manchester Utd,L,2-1,,
2014-10-18,Premier League,,H,Aston Villa,W,3-0,,
2014-10-26,Premier League,,A,Burnley,W,1-3,,
2014-11-01,Premier League,,H,Swansea,D,0-0,,
2014-11-09,Premier League,,A,Sunderland,D,1-1,,
2014-11-22,Premier League,,H,West Ham,W,2-1,,
2014-11-30,Premier League,,A,Tottenham,L,2-1,,
2014-12-03,Premier League,,H,Hull,D,1-1,,
2014-12-06,Premier League,,A,Manchester City,L,1-0,,
2014-12-15,Premier League,,H,QPR,W,3-1,,
2014-12-20,Premier League,,A,Southampton,L,3-0,,
2014-12-26,Premier League,,H,Stoke,L,0-1,,
2014-12-28,Premier League,,A,Newcastle,L,3-2,,
2015-01-01,Premier League,,A,Hull,L,2-0,,
2015-01-06,FA Cup,,H,West Ham,D,1-1,,
2015-01-10,Premier League,,H,Manchester City,D,1-1,,
2015-01-13,FA Cup,,A,West Ham,D,1-1,,
2015-01-19,Premier League,,H,West Brom,D,0-0,,
2015-01-31,Premier League,,A,Crystal Palace,W,0-1,,
2015-02-07,Premier League,,H,Liverpool,D,0-0,,
2015-02-11,Premier League,,A,Chelsea,L,1-0,,
2015-02-22,Premier League,,H,Leicester,D,2-2,,
2015-03-01,Premier League,,A,Arsenal,L,2-0,,
2015-03-04,Premier League,,A,Stoke,L,2-0,,
2015-03-15,Premier League,,H,Newcastle,W,3-0,,
2015-03-22,Premier League,,A,QPR,W,1-2,,
2015-04-04,Premier League,,H,Southampton,W,1-0,,
2015-04-11,Premier League,,A,Swansea,D,1-1,,
2015-04-18,Premier League,,H,Burnley,W,1-0,,
2015-04-26,Premier League,,H,Manchester Utd,W,3-0,,
2015-05-02,Premier League,,A,Aston Villa,L,3-2,,
2015-05-09,Premier League,,H,Sunderland,L,0-2,,
2015-05-16,Premier League,,A,West Ham,W,1-2,,
2015-05-24,Premier League,,H,Tottenham,L,0-1,,
2015-08-08,Premier League,,H,Watford,D,2-2,,
2015-08-15,Premier League,,A,Southampton,W,0-3,,
2015-08-23,Premier League,,H,Manchester City,L,0-2,,
2015-08-26,EFL Cup,,A,Barnsley,D,3-3,,
2015-08-29,Premier League,,A,Tottenham,D,0-0,,
2015-09-12,Premier League,,H,Chelsea,W,3-1,,
2015-09-19,Premier League,,A,Swansea,D,0-0,,
2015-09-22,EFL Cup,,A,Reading,W,1-2,,
2015-09-28,Premier League,,A,West Brom,W,2-3,,
2015-10-04,Premier League,,H,Liverpool,D,1-1,,
2015-10-17,Premier League,,H,Manchester Utd,L,0-3,,
2015-10-24,Premier League,,A,Arsenal,L,2-1,,
2015-10-27,EFL Cup,,H,Norwich,D,1-1,,
2015-11-01,Premier League,,H,Sunderland,W,6-2,,
2015-11-07,Premier League,,A,West Ham,D,1-1,,
2015-11-21,Premier League,,H,Aston Villa,W,4-0,,
2015-11-28,Premier League,,A,Bournemouth,D,3-3,,
2015-12-01,EFL Cup,,A,Middlesbrough,W,0-2,,
2015-12-07,Premier League,,H,Crystal Palace,D,1-1,,
2015-12-12,Premier League,,A,Norwich,D,1-1,,
2015-12-19,Premier League,,H,Leicester,L,2-3,,
2015-12-26,Premier League,,A,Newcastle,W,0-1,,
2015-12-28,Premier League,,H,Stoke,L,3-4,,
2016-01-03,Premier League,,H,Tottenham,D,1-1,,
2016-01-06,EFL Cup,,H,Manchester City,W,2-1,,
2016-01-09,FA Cup,,H,Dag & Red,W,2-0,,
2016-01-13,Premier League,,A,Manchester City,D,0-0,,
2016-01-16,Premier League,,A,Chelsea,D,3-3,,
2016-01-24,Premier League,,H,Swansea,L,1-2,,
2016-01-27,EFL Cup,,A,Manchester City,L,3-1,,
2016-01-31,FA Cup,,A,Carlisle,W,0-3,,
2016-02-03,Premier League,,H,Newcastle,W,3-0,,
2016-02-06,Premier League,,A,Stoke,W,0-3,,
2016-02-13,Premier League,,H,West Brom,L,0-1,,
2016-02-20,FA Cup,,A,Bournemouth,W,0-2,,
2016-03-01,Premier League,,A,Aston Villa,W,1-3,,
2016-03-05,Premier League,,H,West Ham,L,2-3,,
2016-03-12,FA Cup,,H,Chelsea,W,2-0,,
2016-03-19,Premier League,,H,Arsenal,L,0-2,,
2016-04-03,Premier League,,A,Manchester Utd,L,1-0,,
2016-04-09,Premier League,,A,Watford,D,1-1,,
2016-04-13,Premier League,,A,Crystal Palace,D,0-0,,
2016-04-16,Premier League,,H,Southampton,D,1-1,,
2016-04-20,Premier League,,A,Liverpool,L,4-0,,
2016-04-23,FA Cup,,N,Manchester Utd,L,1-2,,
2016-04-30,Premier League,,H,Bournemouth,W,2-1,,
2016-05-07,Premier League,,A,Leicester,L,3-1,,
2016-05-11,Premier League,,A,Sunderland,L,3-0,,
2016-05-15,Premier League,,H,Norwich,W,3-0,,
2016-08-13,Premier League,,H,Tottenham,D,1-1,,
2016-08-20,Premier League,,A,West Brom,W,1-2,,
2016-08-23,EFL Cup,,H,Yeovil,W,4-0,,
2016-08-27,Premier League,,H,Stoke,W,1-0,,
2016-09-12,Premier League,,A,Sunderland,W,0-3,,
2016-09-17,Premier League,,H,Middlesbrough,W,3-1,,
2016-09-20,EFL Cup,,H,Norwich,L,0-2,,
2016-09-24,Premier League,,A,Bournemouth,L,1-0,,
2016-09-30,Premier League,,H,Crystal Palace,D,1-1,,
2016-10-15,Premier League,,A,Manchester City,D,1-1,,
2016-10-22,Premier League,,A,Burnley,L,2-1,,
2016-10-30,Premier League,,H,West Ham,W,2-0,,
2016-11-05,Premier League,,A,Chelsea,L,5-0,,
2016-11-19,Premier League,,H,Swansea,D,1-1,,
2016-11-27,Premier League,,A,Southampton,L,1-0,,
2016-12-04,Premier League,,H,Manchester Utd,D,1-1,,
2016-12-10,Premier League,,A,Watford,L,3-2,,
2016-12-13,Premier League,,H,Arsenal,W,2-1,,
2016-12-19,Premier League,,H,Liverpool,L,0-1,,
2016-12-26,Premier League,,A,Leicester,W,0-2,,
2016-12-30,Premier League,,A,Hull,D,2-2,,
2017-01-02,Premier League,,H,Southampton,W,3-0,,
2017-01-07,FA Cup,,H,Leicester,L,1-2,,
2017-01-15,Premier League,,H,Manchester City,W,4-0,,
2017-01-21,Premier League,,A,Crystal Palace,W,0-1,,
2017-02-01,Premier League,,A,Stoke,D,1-1,,
2017-02-04,Premier League,,H,Bournemouth,W,6-3,,
2017-02-11,Premier League,,A,Middlesbrough,D,0-0,,
2017-02-25,Premier League,,H,Sunderland,W,2-0,,
2017-03-05,Premier League,,A,Tottenham,L,3-2,,
2017-03-11,Premier League,,H,West Brom,W,3-0,,
2017-03-18,Premier League,,H,Hull,W,4-0,,
2017-04-01,Premier League,,A,Liverpool,L,3-1,,
2017-04-04,Premier League,,A,Manchester Utd,D,1-1,,
2017-04-09,Premier League,,H,Leicester,W,4-2,,
2017-04-15,Premier League,,H,Burnley,W,3-1,,
2017-04-22,Premier League,,A,West Ham,D,0-0,,
2017-04-30,Premier League,,H,Chelsea,L,0-3,,
2017-05-06,Premier League,,A,Swansea,L,1-0,,
2017-05-12,Premier League,,H,Watford,W,1-0,,
2017-05-21,Premier League,,A,Arsenal,L,3-1,,
2017-08-12,Premier League,,H,Stoke,W,1-0,,
2017-08-21,Premier League,,A,Manchester City,D,1-1,,
2017-08-27,Premier League,,A,Chelsea,L,2-0,,
2017-09-09,Premier League,,H,Tottenham,L,0-3,,
2017-09-17,Premier League,,A,Manchester Utd,L,4-0,,
2017-09-20,EFL Cup,,H,Sunderland,W,3-0,,
2017-09-23,Premier League,,H,Bournemouth,W,2-1,,
2017-10-01,Premier League,,H,Burnley,L,0-1,,
2017-10-15,Premier League,,A,Brighton,D,1-1,,
2017-10-22,Premier League,,H,Arsenal,L,2-5,,
2017-10-25,EFL Cup,,A,Chelsea,L,2-1,,
2017-10-29,Premier League,,A,Leicester,L,2-0,,
2017-11-05,Premier League,,H,Watford,W,3-2,,
2017-11-18,Premier League,,A,Crystal Palace,D,2-2,,
2017-11-26,Premier League,,A,Southampton,L,4-1,,
2017-11-29,Premier League,,H,West Ham,W,4-0,,
2017-12-02,Premier League,,H,Huddersfield,W,2-0,,
2017-12-10,Premier League,,A,Liverpool,D,1-1,,
2017-12-13,Premier League,,A,Newcastle,W,0-1,,
2017-12-18,Premier League,,H,Swansea,W,3-1,,
2017-12-23,Premier League,,H,Chelsea,D,0-0,,
2017-12-26,Premier League,,A,West Brom,D,0-0,,
2017-12-30,Premier League,,A,Bournemouth,L,2-1,,
2018-01-01,Premier League,,H,Manchester Utd,L,0-2,,
2018-01-05,FA Cup,,A,Liverpool,L,2-1,,
2018-01-13,Premier League,,A,Tottenham,L,4-0,,
2018-01-20,Premier League,,H,West Brom,D,1-1,,
2018-01-31,Premier League,,H,Leicester,W,2-1,,
2018-02-03,Premier League,,A,Arsenal,L,5-1,,
2018-02-10,Premier League,,H,Crystal Palace,W,3-1,,
2018-02-24,Premier League,,A,Watford,L,1-0,,
2018-03-03,Premier League,,A,Burnley,L,2-1,,
2018-03-10,Premier League,,H,Brighton,W,2-0,,
2018-03-17,Premier League,,A,Stoke,W,1-2,,
2018-03-31,Premier League,,H,Manchester City,L,1-3,,
2018-04-07,Premier League,,H,Liverpool,D,0-0,,
2018-04-14,Premier League,,A,Swansea,D,1-1,,
2018-04-23,Premier League,,H,Newcastle,W,1-0,,
2018-04-28,Premier League,,A,Huddersfield,W,0-2,,
2018-05-05,Premier League,,H,Southampton,D,1-1,,
2018-05-13,Premier League,,A,West Ham,L,3-1,,
2018-08-11,Premier League,,A,Wolves,D,2-2,,
2018-08-18,Premier League,,H,Southampton,W,2-1,,
2018-08-25,Premier League,,A,Bournemouth,D,2-2,,
2018-08-29,EFL Cup,,H,Rotherham,W,3-1,,
2018-09-01,Premier League,,H,Huddersfield,D,1-1,,
2018-09-16,Premier League,,H,West Ham,L,1-3,,
2018-09-23,Premier League,,A,Arsenal,L,2-0,,
2018-09-29,Premier League,,H,Fulham,W,3-0,,
2018-10-02,EFL Cup,,H,Southampton,D,1-1,,
2018-10-06,Premier League,,A,Leicester,W,1-2,,
2018-10-21,Premier League,,H,Crystal Palace,W,2-0,,
2018-10-28,Premier League,,A,Manchester Utd,L,2-1,,
2018-11-03,Premier League,,H,Brighton,W,3-1,,
2018-11-11,Premier League,,A,Chelsea,D,0-0,,
2018-11-24,Premier League,,H,Cardiff,W,1-0,,
2018-12-02,Premier League,,A,Liverpool,L,1-0,,
2018-12-05,Premier League,,H,Newcastle,D,1-1,,
2018-12-10,Premier League,,H,Watford,D,2-2,,
2018-12-15,Premier League,,A,Manchester City,L,3-1,,
2018-12-23,Premier League,,H,Tottenham,L,2-6,,
2018-12-26,Premier League,,A,Burnley,W,1-5,,
2018-12-29,Premier League,,A,Brighton,L,1-0,,
2019-01-01,Premier League,,H,Leicester,L,0-1,,
2019-01-05,FA Cup,,H,Lincoln,W,2-1,,
2019-01-13,Premier League,,H,Bournemouth,W,2-0,,
2019-01-19,Premier League,,A,Southampton,L,2-1,,
2019-01-26,FA Cup,,A,Millwall,L,3-2,,
2019-01-29,Premier League,,A,Huddersfield,W,0-1,,
2019-02-02,Premier League,,H,Wolves,L,1-3,,
2019-02-06,Premier League,,H,Manchester City,L,0-2,,
2019-02-09,Premier League,,A,Watford,L,1-0,,
2019-02-26,Premier League,,A,Cardiff,W,0-3,,
2019-03-03,Premier League,,H,Liverpool,D,0-0,,
2019-03-09,Premier League,,A,Newcastle,L,3-2,,
2019-03-17,Premier League,,H,Chelsea,W,2-0,,
2019-03-30,Premier League,,A,West Ham,W,0-2,,
2019-04-07,Premier League,,H,Arsenal,W,1-0,,
2019-04-13,Premier League,,A,Fulham,L,2-0,,
2019-04-21,Premier League,,H,Manchester Utd,W,4-0,,
2019-04-27,Premier League,,A,Crystal Palace,D,0-0,,
2019-05-03,Premier League,,H,Burnley,W,2-0,,
2019-05-12,Premier League,,A,Tottenham,D,2-2,,
2019-08-10,Premier League,,A,Crystal Palace,D,0-0,,
2019-08-17,Premier League,,H,Watford,W,1-0,,
2019-08-23,Premier League,,A,Aston Villa,L,2-0,,
2019-08-28,EFL Cup,,A,Lincoln,W,2-4,,
2019-09-01,Premier League,,H,Wolves,W,3-2,,
2019-09-15,Premier League,,A,Bournemouth,L,3-1,,
2019-09-21,Premier League,,H,Sheffield Utd,L,0-2,,
2019-09-24,EFL Cup,,A,Sheffield Wed,W,0-2,,
2019-09-28,Premier League,,H,Manchester City,L,1-3,,
2019-10-05,Premier League,,A,Burnley,L,1-0,,
2019-10-19,Premier League,,H,West Ham,W,2-0,,
2019-10-26,Premier League,,A,Brighton,L,3-2,,
2019-10-29,EFL Cup,,H,Watford,W,2-0,,
2019-11-03,Premier League,,H,Tottenham,D,1-1,,
2019-11-09,Premier League,,A,Southampton,W,1-2,,
